City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,pimenta bueno,-11.6725,-61.1936,295.89,98,100,2.24,BR,1711583166
185,dacice,49.0815,15.4373,285.69,87,100,6.14,CZ,1711583244
186,bredasdorp,-34.5322,20.0403,290.94,81,100,4.72,ZA,1711583087
187,cabedelo,-6.9811,-34.8339,299.52,83,100,2.98,BR,1711583245
188,naze,28.3667,129.4833,292.66,66,96,7.88,JP,1711583131
189,bom jesus,-9.0744,-44.3586,298.9,73,72,0.67,BR,1711582891
190,trincomalee,8.5711,81.2335,300.96,78,23,4.36,LK,1711583245
191,kavalerovo,44.2661,135.0572,277.34,60,100,1.79,RU,1711583245
192,loango,-4.6719,11.8312,301.96,89,20,2.06,CG,1711583246
193,sur,22.5667,59.5289,297.35,64,71,1.5,OM,1711583246
194,newman,37.3138,-121.0208,292.75,60,100,4.02,US,1711583118
195,crane,31.3974,-102.3501,293.03,13,56,6.54,US,1711583112
196,tazacorte,28.629,-17.9293,290.69,86,0,3.13,ES,1711583123
197,wailua homesteads,22.0669,-159.378,300.39,78,75,7.72,US,1711583095
198,broken hill,-31.95,141.4333,294.11,30,17,7.01,AU,1711583137
199,dobroslav,46.8194,30.9432,280.14,76,69,6.16,UA,1711583247
200,saldanha,-33.0117,17.9442,289.18,90,7,5.14,ZA,1711583136
201,hirara,24.8,125.2833,295.07,94,75,4.12,JP,1711583128
202,praya,14.9215,-23.5087,294.45,78,20,7.2,CV,1711583248
203,new norfolk,-42.7826,147.0587,290.33,51,18,0.74,AU,1711583092
204,iskateley,67.6803,53.1512,254.83,99,66,2.68,RU,1711583089
205,princeville,45.7668,-61.2985,277.98,98,100,4.63,CA,1711583248
206,kismayo,-0.3582,42.5454,300.87,75,54,5.47,SO,1711583248
207,byron bay,-28.65,153.6167,297.43,58,69,3.54,AU,1711583044
208,keetmanshoop,-26.5833,18.1333,294.66,68,16,3.09,NA,1711583249
209,puerto deseado,-47.7503,-65.8938,286.26,60,20,8.79,AR,1711583249
210,isafjordur,66.0755,-23.124,267.39,73,37,1.88,IS,1711583096
211,whitehorse,60.7161,-135.0538,280.58,53,75,4.63,CA,1711583064
212,constitucion,-35.3333,-72.4167,288.25,84,28,6.0,CL,1711583135
213,ixtapa,20.7,-105.2,297.16,70,0,3.58,MX,1711583249
214,visby,57.6409,18.296,279.72,87,61,5.14,SE,1711583237
215,puerto escondido,15.85,-97.0667,299.61,73,20,2.57,MX,1711583138
216,walvis bay,-22.9575,14.5053,289.68,82,0,3.6,NA,1711583108
217,vorgashor,67.5833,63.95,249.11,100,84,2.12,RU,1711583099
218,tlahualilo de zaragoza,26.1167,-103.45,296.18,10,0,4.64,MX,1711583250
219,salvador,13.8333,-88.9167,301.17,57,5,2.86,SV,1711582623
220,howrah,22.5892,88.3103,299.15,100,75,2.06,IN,1711583251
221,qaqortoq,60.7167,-46.0333,264.48,96,13,0.99,GL,1711583100
222,mollendo,-17.0231,-72.0147,296.0,85,33,0.95,PE,1711583251
223,mana,5.6592,-53.7767,300.07,86,57,4.47,GF,1711583134
224,auki,-8.7676,160.7034,302.44,76,86,2.07,SB,1711583251
225,oliver,49.1831,-119.5524,279.95,87,100,4.12,CA,1711583252
226,muhos,64.808,25.9931,273.65,95,100,3.45,FI,1711583252
227,atafu village,-8.5421,-172.5159,301.99,70,100,2.26,TK,1711583104
228,daru,-9.0763,143.2092,303.33,69,100,1.12,PG,1711583092
229,punta arenas,-53.15,-70.9167,281.21,87,100,3.09,CL,1711583002
230,huarmey,-10.0681,-78.1522,296.47,81,69,4.53,PE,1711583120
231,vila velha,-20.3297,-40.2925,299.12,81,40,4.63,BR,1711582890
232,borogontsy,62.6683,131.1683,260.05,94,100,1.91,RU,1711583253
233,georgetown,5.4112,100.3354,300.9,88,20,1.54,MY,1711582996
234,minas de marcona,-15.2119,-75.1103,292.4,78,17,3.78,PE,1711583127
235,bazarak,35.3129,69.5152,281.14,89,96,0.54,AF,1711583253
236,pontes e lacerda,-15.2261,-59.3353,296.79,93,90,1.56,BR,1711583001
237,malaya purga,56.5567,53.0043,273.41,96,100,5.98,RU,1711583254
238,poronaysk,49.2167,143.1167,271.81,68,37,0.97,RU,1711583115
239,beruniy,41.6911,60.7525,282.13,76,100,7.2,UZ,1711583254
240,mao,39.8885,4.2658,288.46,88,75,9.26,ES,1711583254
241,raja,8.4596,25.678,298.84,16,100,0.09,SS,1711583254
242,mossel bay,-34.1831,22.146,292.11,85,100,6.08,ZA,1711583255
243,geraldton,-28.7667,114.6,288.38,94,0,1.54,AU,1711582915
244,howard springs,-12.497,131.047,303.05,92,100,2.34,AU,1711583255
245,aksuat,48.7167,83.7,273.75,73,100,1.41,KZ,1711583255
246,naperville,41.7859,-88.1473,278.92,55,40,7.2,US,1711583039
247,kingston,17.997,-76.7936,301.68,67,20,5.14,JM,1711583004
248,alaghsas,17.0187,8.0168,301.25,8,57,2.21,NE,1711583256
249,fort mcmurray,56.7268,-111.381,267.92,79,100,6.69,CA,1711583143
250,mbuji-mayi,-6.15,23.6,296.03,89,99,0.9,CD,1711583256
251,chul'man,56.8479,124.9104,260.84,93,100,5.09,RU,1711583256
252,ma'rib,15.4591,45.3253,295.42,60,95,4.13,YE,1711583256
253,inhambane,-23.865,35.3833,295.73,78,11,2.73,MZ,1711583257
254,wenling,28.3669,121.36,287.59,90,100,3.63,CN,1711583257
255,kapuskasing,49.4169,-82.4331,272.2,59,100,10.29,CA,1711583103
256,sandnessjoen,66.0217,12.6316,272.44,77,73,4.83,NO,1711583257
257,klyuchi,52.2667,79.1667,274.79,97,97,4.2,RU,1711583257
258,ulsteinvik,62.3432,5.8487,279.43,85,95,0.45,NO,1711583127
